timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733347259914,14,Delete character,200,OK,Thread Group 1000 1-20,text,true,,249,216,44,44,http://localhost:3001/character/4,14,0,0
1733347259922,7,Get character by id,200,OK,Thread Group 1000 1-5,text,true,,235,130,44,44,http://localhost:3001/character/4,7,0,0
1733347259919,11,Get character by id,200,OK,Thread Group 1000 1-4,text,true,,235,130,44,44,http://localhost:3001/character/4,11,0,0
1733347259919,10,Get character by id,200,OK,Thread Group 1000 1-21,text,true,,235,130,44,44,http://localhost:3001/character/4,9,0,0
1733347259922,10,Get character by id,200,OK,Thread Group 1000 1-24,text,true,,235,130,47,47,http://localhost:3001/character/4,10,0,0
1733347259922,11,Get character by id,200,OK,Thread Group 1000 1-9,text,true,,235,130,47,47,http://localhost:3001/character/4,11,0,0
1733347259923,10,Modify character,200,OK,Thread Group 1000 1-18,text,true,,235,241,47,47,http://localhost:3001/character/4,10,0,0
1733347259919,15,Get character by id,200,OK,Thread Group 1000 1-2,text,true,,235,130,48,48,http://localhost:3001/character/4,15,0,0
1733347259911,24,Get character by id,200,OK,Thread Group 1000 1-17,text,true,,235,130,48,48,http://localhost:3001/character/4,24,0,0
1733347259912,23,Create character,200,OK,Thread Group 1000 1-26,text,true,,235,242,48,48,http://localhost:3001/character,23,0,0
1733347259912,24,Get character by id,200,OK,Thread Group 1000 1-15,text,true,,235,130,48,48,http://localhost:3001/character/4,24,0,0
1733347259914,23,Get character by id,200,OK,Thread Group 1000 1-13,text,true,,235,130,49,49,http://localhost:3001/character/4,23,0,0
1733347259915,22,Get character by id,200,OK,Thread Group 1000 1-16,text,true,,235,130,49,49,http://localhost:3001/character/4,22,0,0
1733347259886,52,Get characters,200,OK,Thread Group 1000 1-12,text,true,,364,129,50,50,http://localhost:3001/characters,52,0,0
1733347259927,13,Delete character,200,OK,Thread Group 1000 1-25,text,true,,249,216,51,51,http://localhost:3001/character/4,13,0,0
1733347259928,14,Modify character,200,OK,Thread Group 1000 1-3,text,true,,235,241,51,51,http://localhost:3001/character/4,14,0,0
1733347259930,15,Modify character,200,OK,Thread Group 1000 1-21,text,true,,235,241,55,55,http://localhost:3001/character/4,15,0,0
1733347259929,17,Modify character,200,OK,Thread Group 1000 1-5,text,true,,235,241,55,55,http://localhost:3001/character/4,17,0,0
1733347259930,16,Modify character,200,OK,Thread Group 1000 1-4,text,true,,235,241,55,55,http://localhost:3001/character/4,16,0,0
1733347259933,14,Modify character,200,OK,Thread Group 1000 1-9,text,true,,235,241,55,55,http://localhost:3001/character/4,14,0,0
1733347259934,13,Modify character,200,OK,Thread Group 1000 1-2,text,true,,235,241,55,55,http://localhost:3001/character/4,13,0,0
1733347259932,17,Modify character,200,OK,Thread Group 1000 1-24,text,true,,235,241,58,58,http://localhost:3001/character/4,17,0,0
1733347259935,15,Modify character,200,OK,Thread Group 1000 1-17,text,true,,235,241,58,58,http://localhost:3001/character/4,15,0,0
1733347259933,18,Delete character,200,OK,Thread Group 1000 1-18,text,true,,249,216,58,58,http://localhost:3001/character/4,18,0,0
1733347259935,17,Get character by id,200,OK,Thread Group 1000 1-26,text,true,,235,130,60,60,http://localhost:3001/character/4,17,0,0
1733347259936,17,Modify character,200,OK,Thread Group 1000 1-15,text,true,,235,241,61,61,http://localhost:3001/character/4,17,0,0
1733347259937,17,Modify character,200,OK,Thread Group 1000 1-13,text,true,,235,241,63,63,http://localhost:3001/character/4,17,0,0
1733347259938,18,Create character,200,OK,Thread Group 1000 1-12,text,true,,235,242,64,64,http://localhost:3001/character,18,0,0
1733347259937,19,Modify character,200,OK,Thread Group 1000 1-16,text,true,,235,241,64,64,http://localhost:3001/character/4,19,0,0
1733347259923,34,Modify character,200,OK,Thread Group 1000 1-14,text,true,,235,241,64,64,http://localhost:3001/character/4,34,0,0
1733347259925,32,Create character,200,OK,Thread Group 1000 1-6,text,true,,235,242,64,64,http://localhost:3001/character,32,0,0
1733347259873,86,Get characters,200,OK,Thread Group 1000 1-1,text,true,,364,129,65,65,http://localhost:3001/characters,86,0,15
1733347259942,18,Delete character,200,OK,Thread Group 1000 1-3,text,true,,249,216,66,66,http://localhost:3001/character/4,18,0,0
1733347259946,16,Delete character,200,OK,Thread Group 1000 1-21,text,true,,249,216,67,67,http://localhost:3001/character/4,16,0,0
1733347259947,15,Delete character,200,OK,Thread Group 1000 1-4,text,true,,249,216,67,67,http://localhost:3001/character/4,15,0,0
1733347259946,17,Delete character,200,OK,Thread Group 1000 1-5,text,true,,249,216,67,67,http://localhost:3001/character/4,17,0,0
1733347259948,16,Delete character,200,OK,Thread Group 1000 1-2,text,true,,249,216,68,68,http://localhost:3001/character/4,16,0,0
1733347259949,17,Delete character,200,OK,Thread Group 1000 1-9,text,true,,249,216,68,68,http://localhost:3001/character/4,17,0,0
1733347259950,16,Delete character,200,OK,Thread Group 1000 1-24,text,true,,249,216,69,69,http://localhost:3001/character/4,16,0,0
1733347259950,17,Delete character,200,OK,Thread Group 1000 1-17,text,true,,249,216,69,69,http://localhost:3001/character/4,17,0,0
1733347259952,16,Modify character,200,OK,Thread Group 1000 1-26,text,true,,235,241,69,69,http://localhost:3001/character/4,16,0,0
