timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733347117433,3,Get characters,200,OK,Thread Group 100 1-1,text,true,,318,129,1,1,http://localhost:3001/characters,3,0,1
1733347117438,1,Create character,200,OK,Thread Group 100 1-1,text,true,,235,242,1,1,http://localhost:3001/character,1,0,0
1733347117439,1,Get character by id,200,OK,Thread Group 100 1-1,text,true,,235,130,1,1,http://localhost:3001/character/4,1,0,0
1733347117440,2,Modify character,200,OK,Thread Group 100 1-1,text,true,,235,241,2,2,http://localhost:3001/character/4,2,0,0
1733347117442,1,Delete character,200,OK,Thread Group 100 1-1,text,true,,249,216,2,2,http://localhost:3001/character/4,1,0,0
1733347117442,3,Get characters,200,OK,Thread Group 100 1-2,text,true,,318,129,1,1,http://localhost:3001/characters,3,0,0
1733347117446,1,Create character,200,OK,Thread Group 100 1-2,text,true,,235,242,1,1,http://localhost:3001/character,1,0,0
1733347117448,2,Get character by id,200,OK,Thread Group 100 1-2,text,true,,235,130,1,1,http://localhost:3001/character/4,2,0,0
1733347117451,2,Modify character,200,OK,Thread Group 100 1-2,text,true,,235,241,2,2,http://localhost:3001/character/4,2,0,0
1733347117452,4,Get characters,200,OK,Thread Group 100 1-3,text,true,,321,129,2,2,http://localhost:3001/characters,4,0,1
1733347117457,1,Delete character,200,OK,Thread Group 100 1-2,text,true,,249,216,2,2,http://localhost:3001/character/4,1,0,0
1733347117456,3,Create character,200,OK,Thread Group 100 1-3,text,true,,235,242,2,2,http://localhost:3001/character,3,0,0
1733347117460,0,Get character by id,200,OK,Thread Group 100 1-3,text,true,,235,130,2,2,http://localhost:3001/character/4,0,0,0
1733347117461,4,Modify character,200,OK,Thread Group 100 1-3,text,true,,235,241,2,2,http://localhost:3001/character/4,4,0,0
1733347117464,3,Get characters,200,OK,Thread Group 100 1-4,text,true,,321,129,2,2,http://localhost:3001/characters,3,0,0
1733347117465,3,Delete character,200,OK,Thread Group 100 1-3,text,true,,249,216,2,2,http://localhost:3001/character/4,3,0,0
1733347117467,3,Create character,200,OK,Thread Group 100 1-4,text,true,,235,242,1,1,http://localhost:3001/character,3,0,0
1733347117470,1,Get character by id,200,OK,Thread Group 100 1-4,text,true,,235,130,1,1,http://localhost:3001/character/4,1,0,0
1733347117471,1,Modify character,200,OK,Thread Group 100 1-4,text,true,,235,241,2,2,http://localhost:3001/character/4,1,0,0
1733347117473,1,Delete character,200,OK,Thread Group 100 1-4,text,true,,249,216,2,2,http://localhost:3001/character/4,1,0,0
1733347117472,3,Get characters,200,OK,Thread Group 100 1-5,text,true,,318,129,1,1,http://localhost:3001/characters,3,0,1
1733347117475,2,Create character,200,OK,Thread Group 100 1-5,text,true,,235,242,1,1,http://localhost:3001/character,1,0,0
1733347117477,1,Get character by id,200,OK,Thread Group 100 1-5,text,true,,235,130,1,1,http://localhost:3001/character/4,1,0,0
1733347117478,1,Modify character,200,OK,Thread Group 100 1-5,text,true,,235,241,1,1,http://localhost:3001/character/4,1,0,0
1733347117479,1,Delete character,200,OK,Thread Group 100 1-5,text,true,,249,216,1,1,http://localhost:3001/character/4,1,0,0
1733347117483,1,Get characters,200,OK,Thread Group 100 1-6,text,true,,318,129,1,1,http://localhost:3001/characters,1,0,0
1733347117484,2,Create character,200,OK,Thread Group 100 1-6,text,true,,235,242,1,1,http://localhost:3001/character,2,0,0
1733347117486,1,Get character by id,200,OK,Thread Group 100 1-6,text,true,,235,130,1,1,http://localhost:3001/character/4,1,0,0
1733347117487,2,Modify character,200,OK,Thread Group 100 1-6,text,true,,235,241,1,1,http://localhost:3001/character/4,2,0,0
1733347117489,2,Delete character,200,OK,Thread Group 100 1-6,text,true,,249,216,1,1,http://localhost:3001/character/4,2,0,0
1733347117492,2,Get characters,200,OK,Thread Group 100 1-7,text,true,,318,129,1,1,http://localhost:3001/characters,2,0,1
1733347117494,3,Create character,200,OK,Thread Group 100 1-7,text,true,,235,242,1,1,http://localhost:3001/character,3,0,0
1733347117497,1,Get character by id,200,OK,Thread Group 100 1-7,text,true,,235,130,1,1,http://localhost:3001/character/4,1,0,0
1733347117498,2,Modify character,200,OK,Thread Group 100 1-7,text,true,,235,241,1,1,http://localhost:3001/character/4,2,0,0
1733347117500,2,Delete character,200,OK,Thread Group 100 1-7,text,true,,249,216,1,1,http://localhost:3001/character/4,2,0,0
1733347117502,3,Get characters,200,OK,Thread Group 100 1-8,text,true,,318,129,1,1,http://localhost:3001/characters,3,0,0
1733347117505,1,Create character,200,OK,Thread Group 100 1-8,text,true,,235,242,1,1,http://localhost:3001/character,1,0,0
1733347117506,2,Get character by id,200,OK,Thread Group 100 1-8,text,true,,235,130,1,1,http://localhost:3001/character/4,2,0,0
1733347117508,1,Modify character,200,OK,Thread Group 100 1-8,text,true,,235,241,1,1,http://localhost:3001/character/4,1,0,0
1733347117509,1,Delete character,200,OK,Thread Group 100 1-8,text,true,,249,216,1,1,http://localhost:3001/character/4,1,0,0
1733347117513,3,Get characters,200,OK,Thread Group 100 1-9,text,true,,318,129,1,1,http://localhost:3001/characters,3,0,0
1733347117516,1,Create character,200,OK,Thread Group 100 1-9,text,true,,235,242,1,1,http://localhost:3001/character,1,0,0
1733347117517,1,Get character by id,200,OK,Thread Group 100 1-9,text,true,,235,130,1,1,http://localhost:3001/character/4,1,0,0
1733347117519,1,Modify character,200,OK,Thread Group 100 1-9,text,true,,235,241,1,1,http://localhost:3001/character/4,1,0,0
1733347117520,3,Delete character,200,OK,Thread Group 100 1-9,text,true,,249,216,1,1,http://localhost:3001/character/4,3,0,0
1733347117523,3,Get characters,200,OK,Thread Group 100 1-10,text,true,,318,129,1,1,http://localhost:3001/characters,3,0,1
1733347117526,1,Create character,200,OK,Thread Group 100 1-10,text,true,,235,242,1,1,http://localhost:3001/character,1,0,0
